,event,fulldate,cov_all,age_cov,min_season_cov,fast_fraction,grid_cell
438,1,2013-12-01,0.4,0.9,0.5,0.6,176
439,2,2015-09-01,0.0,0.9,0.5,0.6,176
440,3,2017-12-01,0.75,0.9,0.5,0.6,176
441,1,2013-12-01,0.4,0.9,0.5,0.6,178
442,2,2015-09-01,0.7,0.9,0.5,0.6,178
443,3,2017-12-01,0.75,0.9,0.5,0.6,178
444,1,2013-12-01,0.4,0.9,0.5,0.6,179
445,2,2015-09-01,1.0,0.9,0.5,0.6,179
446,3,2017-12-01,0.75,0.9,0.5,0.6,179
447,1,2013-12-01,0.4,0.9,0.5,0.6,180
448,2,2015-09-01,0.384615384615385,0.9,0.5,0.6,180
449,3,2017-12-01,0.75,0.9,0.5,0.6,180
450,1,2013-12-01,0.4,0.9,0.5,0.6,181
451,2,2015-09-01,1.0,0.9,0.5,0.6,181
452,3,2017-12-01,0.75,0.9,0.5,0.6,181
453,1,2013-12-01,0.4,0.9,0.5,0.6,182
454,2,2015-09-01,0.0,0.9,0.5,0.6,182
455,3,2017-12-01,0.75,0.9,0.5,0.6,182
456,1,2013-12-01,0.4,0.9,0.5,0.6,183
457,2,2015-09-01,1.0,0.9,0.5,0.6,183
458,3,2017-12-01,0.75,0.9,0.5,0.6,183
459,1,2013-12-01,0.4,0.9,0.5,0.6,184
460,2,2015-09-01,1.0,0.9,0.5,0.6,184
461,3,2017-12-01,0.75,0.9,0.5,0.6,184
462,1,2013-12-01,0.4,0.9,0.5,0.6,186
463,2,2015-09-01,0.214285714285714,0.9,0.5,0.6,186
464,3,2017-12-01,0.75,0.9,0.5,0.6,186
465,1,2013-12-01,0.4,0.9,0.5,0.6,187
466,2,2015-09-01,0.555555555555556,0.9,0.5,0.6,187
467,3,2017-12-01,0.75,0.9,0.5,0.6,187
468,1,2013-12-01,0.4,0.9,0.5,0.6,188
