,grid_cell,event,fulldate,cov_all,killing,box_duration,exp_duration
478,145,3,2016-09-01,0.5,0.9,210,30
479,145,4,2017-12-01,0.86,0.9,210,30
480,146,1,2014-09-01,0.666666667,0.6,1,90
481,146,2,2015-09-01,0.75,0.9,210,30
482,146,3,2016-09-01,0.75,0.9,210,30
483,146,4,2017-12-01,0.86,0.9,210,30
484,147,1,2014-09-01,0.0,0.6,1,90
485,147,2,2015-09-01,1.0,0.9,210,30
486,147,3,2016-09-01,1.0,0.9,210,30
487,147,4,2017-12-01,0.86,0.9,210,30
488,148,1,2014-09-01,0.0,0.6,1,90
489,148,2,2015-09-01,1.0,0.9,210,30
490,148,3,2016-09-01,1.0,0.9,210,30
491,148,4,2017-12-01,0.86,0.9,210,30
492,149,1,2014-09-01,0.0,0.6,1,90
493,149,2,2015-09-01,1.0,0.9,210,30
494,149,3,2016-09-01,0.5,0.9,210,30
495,149,4,2017-12-01,0.86,0.9,210,30
496,150,1,2015-09-01,1.0,0.9,210,30
497,151,1,2015-09-01,1.0,0.9,210,30
498,152,1,2014-09-01,0.8,0.6,1,90
499,152,2,2015-09-01,1.0,0.9,210,30
500,152,3,2016-09-01,0.833333333,0.9,210,30
501,152,4,2017-09-01,0.833333333,0.9,210,30
502,153,1,2014-09-01,1.0,0.6,1,90
503,153,2,2015-09-01,1.0,0.9,210,30
504,153,3,2016-09-01,0.0,0.9,210,30
505,153,4,2017-09-01,0.0,0.9,210,30
506,154,1,2014-09-01,0.0,0.6,1,90
507,154,2,2015-09-01,0.0,0.9,210,30
508,154,3,2016-09-01,1.0,0.9,210,30
509,154,4,2017-09-01,0.67,0.9,210,30
510,155,1,2014-09-01,0.0,0.6,1,90
511,155,2,2015-09-01,1.0,0.9,210,30
512,155,3,2016-09-01,0.0,0.9,210,30
513,155,4,2017-12-01,0.86,0.9,210,30
514,156,1,2015-09-01,0.333333333,0.9,210,30
515,157,1,2014-09-01,0.0,0.6,1,90
516,157,2,2015-09-01,0.7142857140000001,0.9,210,30
517,157,3,2016-09-01,0.0,0.9,210,30
518,157,4,2017-12-01,0.86,0.9,210,30
519,158,1,2014-09-01,0.0,0.6,1,90
520,158,2,2015-09-01,1.0,0.9,210,30
521,158,3,2016-09-01,1.0,0.9,210,30
522,158,4,2017-12-01,0.86,0.9,210,30
523,159,1,2016-09-01,1.0,0.9,210,30
524,159,2,2017-12-01,0.86,0.9,210,30
525,160,1,2014-09-01,0.0,0.6,1,90
526,160,2,2015-09-01,1.0,0.9,210,30
527,160,3,2016-09-01,0.5,0.9,210,30
528,160,4,2017-12-01,0.86,0.9,210,30
529,161,1,2014-09-01,1.0,0.6,1,90
530,161,2,2015-09-01,1.0,0.9,210,30
531,161,3,2016-09-01,1.0,0.9,210,30
532,161,4,2017-12-01,0.86,0.9,210,30
533,162,1,2014-09-01,1.0,0.6,1,90
534,162,2,2015-09-01,1.0,0.9,210,30
535,162,3,2016-09-01,1.0,0.9,210,30
536,162,4,2017-12-01,0.86,0.9,210,30
537,163,1,2014-09-01,0.125,0.6,1,90
538,163,2,2015-09-01,0.625,0.9,210,30
539,163,3,2016-09-01,0.7142857140000001,0.9,210,30
540,163,4,2017-12-01,0.86,0.9,210,30
541,164,1,2014-09-01,0.0,0.6,1,90
542,164,2,2015-09-01,0.7777777779999999,0.9,210,30
543,164,3,2016-09-01,0.857142857,0.9,210,30
